Mineral Name,Mineral Name (plain),RRUFF Chemistry (concise),Chemistry Elements,RRUFF IDs,Structural Groupname,Crystal Systems,Space Groups,Oldest Known Age (Ma),Paragenetic Modes,Hey Classification ID,Hey Classification Name
Abellaite,Abellaite,NaPb^2+^_2_(CO_3_)_2_(OH),Na Pb C O H,,Not in a structural group,hexagonal,P31c|P6_3mc,370.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",12,Carbonates with other anions
Abelsonite,Abelsonite,Ni^2+^C_31_H_32_N_4_,Ni C H N,R070007,Not in a structural group,triclinic,P-1,56.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals",32,"Hydrocarbons, Resins and other Organic Compounds"
Abenakiite-(Ce),Abenakiite-(Ce),Na_26_Ce^3+^_6_(SiO_3_)_6_(PO_4_)_6_(CO_3_)_6_(S^4+^O_2_)O,Na Ce Si O P C S,,Not in a structural group,hexagonal,R-3,124.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",25,Sulphates
Abernathyite,Abernathyite,K(U^6+^O_2_)As^5+^O_4_·3H_2_O,K U O As H,,Natroautunite,tetragonal,P4/nmm|P4/ncc,358.9,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",23,Arsenites
Abhurite,Abhurite,Sn^2+^_21_O_6_(OH)_14_Cl_16_,Sn O H Cl,R060227,Not in a structural group,hexagonal,R32,0.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM57 - Other minerals formed by human processes",7,Oxides and Hydroxides
Abramovite,Abramovite,Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_,Pb Sn In Bi S,R070037,Not in a structural group,triclinic,P1,0.04,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals",6,"Sulphosalts - Sulphostannates, Sulphogermanates, Sulpharsenates, Sulphantimonates, Sulphovanadates and Sulphohalides"
Abswurmbachite,Abswurmbachite,Cu^2+^Mn^3+^_6_O_8_(SiO_4_),Cu Mn O Si,,Braunite,tetragonal,I4_1/acd,541.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",14,Silicates not Containing Aluminum
Abuite,Abuite,CaAl_2_(PO_4_)_2_F_2_,Ca Al P O F,,Not in a structural group,orthorhombic,P2_12_12_1,,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration",0,Unclassified
Acanthite,Acanthite,Ag^1+^_2_S^2-^,Ag S,R070578 R080016,Acanthite,monoclinic,P2_1/n,4000.0,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Acetamide,Acetamide,CH_3_CONH_2_,C H O N,,Not in a structural group,hexagonal,R3c,0.0,"Biotic; Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals",0,Unclassified
Achalaite,Achalaite,Fe^2+^Ti^4+^Nb^5+^_2_O_8_,Fe Ti Nb O,,Columbite,monoclinic,C2/c,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",18,Niobates and Tantalates
Achávalite,Achavalite,FeSe,Fe Se,,Nickeline,hexagonal,P6_3mc|P6_3/mmc,,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",0,Unclassified
Achyrophanite,Achyrophanite,"(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(As^5+^O_4_)_5_",K Na Fe Ti Al Mg O As,,Not in a structural group,orthorhombic,P222_1,3.6e-05,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",0,Unclassified
Acmonidesite,Acmonidesite,"(N^3-^H_4_,K,Pb^2+^,Na)_9_Fe^2+^_4_(S^6+^O_4_)_5_Cl_8_",N H K Pb Na Fe S O Cl,,Not in a structural group,orthorhombic,C222_1,,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",26,Sulphates with Halide
Actinolite,Actinolite,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,Ca Mg Fe Si O H,R040063 R040064 R050025 R050336 R060045 R060041 R120010,Amphibole,monoclinic,C2/m,4000.0,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM8 - Mafic igneous rocks, Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Acuminite,Acuminite,SrAlF_4_(OH)·H_2_O,Sr Al F O H,,Tikhonenkovite,monoclinic,C2/c,1275.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)",7,Oxides and Hydroxides
Adachiite,Adachiite,CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH),Ca Fe Al Si O B H,R230014,Tourmaline,hexagonal|unknown,R3m,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",17,Silicates Containing other Anions
Adamite,Adamite,Zn^2+^_2_As^5+^O_4_(OH),Zn As O H,R040130 R050020 R060593,Andalusite,orthorhombic,Pnnm,2700.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Adamsite-(Y),Adamsite-(Y),NaY(CO_3_)_2_·6H_2_O,Na Y C O H,R070360,Not in a structural group,triclinic,P1|P-1,1742.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",11,Carbonates
Adanite,Adanite,Pb^2+^_2_(Te^4+^O_3_)(S^6+^O_4_),Pb Te O S,R190033, ,monoclinic,P2_1/n,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",25,Sulphates
Addibischoffite,Addibischoffite,Ca_2_Al_6_Al_6_O_20_,Ca Al O,,Sapphirine,triclinic,P-1,,"Abiotic, Primary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates",7,Oxides and Hydroxides
Adelite,Adelite,CaMgAs^5+^O_4_(OH),Ca Mg As O H,R060687 R140962,Adelite,orthorhombic,P2_12_12_1,1890.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Admontite,Admontite,MgB_6_O_10_·7H_2_O,Mg B O H,,Not in a structural group,monoclinic,P2_1/c,,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)",9,Borates
Adolfpateraite,Adolfpateraite,K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O),K U O S H,,Not in a structural group,monoclinic,P2_1/c,0.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals",25,Sulphates
Adranosite,Adranosite,(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_,N H Na Al S O Cl,,Adranosite,tetragonal,I4_1/acd,326.0,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals",26,Sulphates with Halide
Adranosite-(Fe),Adranosite-(Fe),(N^3-^H_4_)_4_NaFe^3+^_2_(S^6+^O_4_)_4_Cl(OH)_2_,N H Na Fe S O Cl,,Adranosite,tetragonal,I4_1/acd,259.1,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",26,Sulphates with Halide
Adrianite,Adrianite,Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_,Ca Al Mg Si O Cl,, ,cubic,I-43d,4567.61,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases",17,Silicates Containing other Anions
Aegirine,Aegirine,NaFe^3+^Si_2_O_6_,Na Fe Si O,R040054 R050074 R061093 R070125 R070253 R120144 R120167,Pyroxene,monoclinic,C2/c,2613.0,"Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals",14,Silicates not Containing Aluminum
Aegirine-augite,Aegirine-augite,"(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_",Ca Na Fe Mg Si O,,Pyroxene,monoclinic,C2/c,2680.0,"Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals",14,Silicates not Containing Aluminum
Aenigmatite,Aenigmatite,Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_],Na Fe Ti O Si,R061088 R061089,Sapphirine,triclinic,P-1,4567.61,"Abiotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites",14,Silicates not Containing Aluminum
Aerinite,Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O",Ca Na Fe Mg Al Si O H C,R050610,Not in a structural group,hexagonal,P3c1,287.0,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals",12,Carbonates with other anions
Aerugite,Aerugite,Ni^2+^_8.5_(As^5+^O_4_)_2_As^5+^O_8_,Ni As O,,Not in a structural group,hexagonal,R-3m,200.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",7,Oxides and Hydroxides
Aeschynite-(Ce),Aeschynite-(Ce),"(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Ce Ca Fe Th Ti Nb O H,,Aeschynite,orthorhombic,,1420.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites",7,Oxides and Hydroxides
Aeschynite-(Nd),Aeschynite-(Nd),"(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Nd Ln Ca Ti Nb O H,,Aeschynite,orthorhombic,Pbmn|Pncm,580.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",7,Oxides and Hydroxides
Aeschynite-(Y),Aeschynite-(Y),"(Y,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_",Y Ln Ca Th Ti Nb O H,R060312 R080045,Aeschynite,orthorhombic|amorphous,Pnma,2000.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM36 - Carbonatites & kimberlites",7,Oxides and Hydroxides
Afghanite,Afghanite,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_,Na K Ca Si Al O S Cl,R060422 R070558,Cancrinite-sodalite,hexagonal,P31c,1600.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",26,Sulphates with Halide
Afmite,Afmite,Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O,Al O H P,R130082, ,triclinic,P-1,975.3,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Afwillite,Afwillite,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O,Ca Si O H,R070296 R080022 R141097,Spurrite-Afwillite,monoclinic|triclinic,Cc|P1,2400.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals",17,Silicates Containing other Anions
Agaite,Agaite,Pb^2+^_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_),Pb Cu Te O H C,,Not in a structural group,orthorhombic,Pca2_1,946.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",12,Carbonates with other anions
Agakhanovite-(Y),Agakhanovite-(Y),YCa[box]_2_KBe_3_Si_12_O_30_,Y Ca K Be Si O,R230012,Milarite,hexagonal,P6/mcc,967.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",14,Silicates not Containing Aluminum
Agardite-(Ce),Agardite-(Ce),Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Ce Cu As O H,,Mixite,hexagonal,P6_3/m,541.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Agardite-(La),Agardite-(La),Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,La Cu As O H,,Mixite,hexagonal,P6_3/m,359.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Agardite-(Nd),Agardite-(Nd),Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Nd Cu As O H,,Mixite,hexagonal,P6_3/m,419.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Agardite-(Y),Agardite-(Y),Cu^2+^_6_Y(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Y Cu As O H,R060711 R060924 R070357 R070649,Mixite,hexagonal,P6_3/m,1861.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Agmantinite,Agmantinite,Ag^1+^_2_Mn^2+^Sn^4+^S^2-^_4_,Ag Mn Sn S,,Wurtzite,orthorhombic|monoclinic,Pn|P2_1nm,24.5,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Agrellite,Agrellite,NaCa_2_Si_4_O_10_F,Na Ca Si O F,R060914,Not in a structural group,triclinic,P-1,1240.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Agricolaite,Agricolaite,K_4_(U^6+^O_2_)(CO_3_)_3_,K U O C,,Not in a structural group,monoclinic,C2/c,543.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",11,Carbonates
Agrinierite,Agrinierite,K_2_Ca[(U^6+^O_2_)_3_O_3_(OH)_2_]_2_·5H_2_O,K Ca U O H,R130139,Compreignacite,orthorhombic,F2mm,276.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",7,Oxides and Hydroxides
Aguilarite,Aguilarite,Ag^1+^_4_Se^2-^S^2-^,Ag Se S,,Acanthite,monoclinic|orthorhombic,P2_12_12_1|P2_1/n,2680.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Aheylite,Aheylite,Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O,Fe Al P O H,R070070 R070171,Turquoise,triclinic,P-1,1790.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Ahlfeldite,Ahlfeldite,Ni^2+^Se^4+^O_3_·2H_2_O,Ni Se O H,R100210,Cobaltomenite,monoclinic,P2_1/n,416.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",28,"Selenites, Selenates, Tellurites, and Tellurates"
Ahrensite,Ahrensite,SiFe^2+^_2_O_4_,Si Fe O,R230013,Spinel,cubic,Fd-3m|Fd3m,,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases",14,Silicates not Containing Aluminum
Aikinite,Aikinite,Cu^1+^Pb^2+^Bi^3+^S^2-^_3_,Cu Pb Bi S,R100117,Meneghinite,orthorhombic,Pnma,2710.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Aiolosite,Aiolosite,Na_2_(Na_2_Bi^3+^)(S^6+^O_4_)_3_Cl,Na Bi S O Cl,,Apatite,hexagonal,P6_3/m,,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",26,Sulphates with Halide
Airdite,Airdite,Sr(V^4+^O)_2_(PO_4_)_2_·4H_2_O,Sr V O P H,, ,monoclinic,Cc,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Ajoite,Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,K Cu Al Si O H,R060735 R120018,Ajoite,triclinic,P-1,372.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",17,Silicates Containing other Anions
Akaganeite,Akaganeite,"(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O",Fe Ni O H Cl,,Coronadite,monoclinic|tetragonal,"I2/m|I4/m, C2/m",2038.0,"Abiotic, Biotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM14 - Hot springs & geysers, Stage 5: Initiation of plate tectonics, PM42 - Sea-floor Mn nodules, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals",7,Oxides and Hydroxides
Akaogiite,Akaogiite,Ti^4+^O_2_,Ti O,,Baddeleyite,monoclinic,P2_1/c,,"Abiotic; Stage 4a: Earth's earliest continental crust, PM30 - Terrestrial impact minerals",7,Oxides and Hydroxides
Akatoreite,Akatoreite,Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_,Mn Al Si O H,R060230,Not in a structural group,triclinic,P-1,,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",17,Silicates Containing other Anions
Akdalaite,Akdalaite,Al_10_O_14_(OH)_2_,Al O H,,Nolanite,hexagonal|orthorhombic,"P6_3mc|Cmc2_1, P31c",623.3,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration",7,Oxides and Hydroxides
Åkermanite,Akermanite,Ca_2_MgSi_2_O_7_,Ca Mg Si O,R061085 R061100,Melilite,tetragonal,P-42_1m,4330.0,"Abiotic, Biotic, Primary, Secondary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates, Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals",14,Silicates not Containing Aluminum
Akhtenskite,Akhtenskite,Mn^4+^O_2_,Mn O,,Feroxyhyte,hexagonal,P6_3mc,63.5,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 5: Initiation of plate tectonics, PM42 - Sea-floor Mn nodules, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",7,Oxides and Hydroxides
Akimotoite,Akimotoite,MgSiO_3_,Mg Si O,,Corundum,hexagonal,R-3,,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases",14,Silicates not Containing Aluminum
Aklimaite,Aklimaite,Ca_4_[Si_2_O_5_(OH)_2_](OH)_4_·5H_2_O,Ca Si O H,,Not in a structural group,monoclinic,C2/m,3.0,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals",17,Silicates Containing other Anions
Akopovaite,Akopovaite,Al_4_Li_2_(OH)_12_(CO_3_)(H_2_O)_3_,Al Li O H C,,Hydrotalcite,monoclinic,C2/m,,"Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals",12,Carbonates with other anions
Akrochordite,Akrochordite,Mn^2+^Mn^2+^_2_Mn^2+^_2_(As^5+^O_4_)_2_(OH)_4_(H_2_O)_4_,Mn As O H,R100028,Akrochordite,monoclinic,P2_1/c,1890.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",0,Unclassified
Aksaite,Aksaite,MgB_6_O_7_(OH)_6_·2H_2_O,Mg B O H,,Not in a structural group,orthorhombic,Pbca,354.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)",10,Borates with other anions
Aktashite,Aktashite,Cu^1+^_6_Hg^2+^_3_As^3+^_4_S^2-^_12_,Cu Hg As S,,Nowackiite,hexagonal,R3,2638.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Alabandite,Alabandite,Mn^2+^S^2-^,Mn S,R070174,Rocksalt,cubic,Fm3m,4620.0,"Abiotic, Primary, Secondary; Stage 1: Primary nebular phases, PM4 - Primary chondrule phases, Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Alacránite,Alacranite,As_8_S_9_,As S,R140323 R150030,Not in a structural group,monoclinic,P2/c,443.0,"Abiotic, Biotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals, Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Alamosite,Alamosite,Pb^2+^SiO_3_,Pb Si O,R060067,Not in a structural group,monoclinic,P2/n,1898.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",14,Silicates not Containing Aluminum
Alarsite,Alarsite,AlAs^5+^O_4_,Al As O,,Quartz,hexagonal,P3_121,3.6e-05,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",7,Oxides and Hydroxides
Albertiniite,Albertiniite,Fe^2+^(S^4+^O_3_)·3H_2_O,Fe S O H,,Albertiniite,monoclinic,P2_1/n,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",25,Sulphates
Albite,Albite,NaAlSi_3_O_8_,Na Al Si O,R040068 R040129 R050253 R050402 R060054 R070268 R100169 R180031 R230008,Feldspar,triclinic,C-1,4620.0,"Abiotic, Biotic, Primary, Secondary; Stage 1: Primary nebular phases, PM4 - Primary chondrule phases, Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM9 - Lava/xenolith minerals, PM10 - Basalt-hosted zeolite minerals, Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, PM17 - Marine authigenic Hadean minerals, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM22 - Near-surface hydration, PM23 - Subaerial alteration, PM24 - Authigenic minerals in terrestrial sediments, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, PM43 - Shear-induced minerals, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals",16,Silicates Containing Aluminum and other Metals
