Mineral Name,Mineral Name (plain),RRUFF Chemistry (concise),Chemistry Elements,RRUFF IDs,Structural Groupname,Crystal Systems,Space Groups,Oldest Known Age (Ma),Paragenetic Modes,Hey Classification ID,Hey Classification Name
Sorosite,Sorosite,"Cu_1.1-1.2_(Sn,Sb)",Cu Sn Sb,,Nickeline,hexagonal,P6_3mc|P6_3/mmc,89.9,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, PM33 - Hydrothermal metal deposits",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Sosedkoite,Sosedkoite,K_5_Al_2_Ta_22_O_60_,K Al Ta O,, ,orthorhombic,,2527.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",18,Niobates and Tantalates
Součekite,Soucekite,Cu^1+^Pb^2+^Bi^3+^S^2-^_3_,Cu Pb Bi S Se,,Bournonite,orthorhombic,Pn2_1m,306.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Souzalite,Souzalite,Mg_3_Al_4_(PO_4_)_4_(OH)_6_·2H_2_O,Mg Al P O H,,Souzalite,triclinic,P-1,980.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, PM22 - Near-surface hydration, PM31 - Contact metamorphism",0,Unclassified
Spadaite,Spadaite,MgSiO_2_(OH)_2_·H_2_O,Mg Si O H,, ,,,158.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Spaltiite,Spaltiite,Tl^1+^_2_Cu^1+^_2_As^3+^_2_S^2-^_5_,Tl Cu As S,, ,monoclinic,P2_1/c,245.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Spangolite,Spangolite,Cu^2+^_6_AlS^6+^O_4_(OH)_12_Cl·3H_2_O,Cu Al S O H Cl,R060135 R080023,Spangolite,hexagonal,P31c,1847.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",4,Oxysulphides
Spencerite,Spencerite,Zn^2+^_4_(PO_4_)_2_(OH)_2_·3H_2_O,Zn P O H,R050581, ,monoclinic,P2/c,765.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Sperrylite,Sperrylite,PtAs_2_,Pt As,R070214,Pyrite,cubic,Pa3,3640.0,"Abiotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites",0,Unclassified
Spertiniite,Spertiniite,Cu^2+^(OH)_2_,Cu O H,R100193, ,orthorhombic,Cmc2_1|Bbmm,1575.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals",7,Oxides and Hydroxides
Spessartine,Spessartine,Mn^2+^_3_Al_2_(SiO_4_)_3_,Mn Al Si O,R050063 R060177 R060279 R060447 R060451 R080053,Garnet,cubic,Ia3d|Ia-3d,3293.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, PM26 - Hadean detrital minerals, PM31 - Contact metamorphism, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",16,Silicates Containing Aluminum and other Metals
Sphaerobertrandite,Sphaerobertrandite,Be_3_SiO_4_(OH)_2_,Be Si O H,, ,monoclinic,P2_1/c,413.6,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
