File,Prediction,Confidence
Steno-CT-33_01_Y019_X249.txt,Class B,0.9
Steno-CT-33_01_Y009_X160.txt,Class B,0.95
Steno-CT-33_01_Y007_X237.txt,Class B,0.93
Steno-CT-33_01_Y020_X167.txt,Class B,0.94
Steno-CT-33_01_Y007_X223.txt,Class B,0.96
Steno-CT-33_01_Y020_X173.txt,Class B,0.95
Steno-CT-33_01_Y001_X078.txt,Class B,0.88
Steno-CT-33_01_Y036_X001.txt,Class B,0.97
Steno-CT-33_01_Y042_X251.txt,Class B,0.96
Steno-CT-33_01_Y052_X178.txt,Class B,0.94
Steno-CT-33_01_Y009_X174.txt,Class B,0.88
Steno-CT-33_01_Y006_X237.txt,Class B,0.97
Steno-CT-33_01_Y021_X167.txt,Class B,0.82
Steno-CT-33_01_Y018_X249.txt,Class B,0.93
Steno-CT-33_01_Y008_X160.txt,Class B,0.99
Steno-CT-33_01_Y037_X015.txt,Class B,0.99
Steno-CT-33_01_Y043_X245.txt,Class B,0.98
Steno-CT-33_01_Y056_X166.txt,Class B,0.98
Steno-CT-33_01_Y005_X066.txt,Class B,0.97
Steno-CT-33_01_Y013_X114.txt,Class B,0.95
Steno-CT-33_01_Y040_X014.txt,Class B,0.94
Steno-CT-33_01_Y034_X244.txt,Class B,0.97
Steno-CT-33_01_Y048_X118.txt,Class B,0.97
Steno-CT-33_01_Y029_X282.txt,Class B,0.99
Steno-CT-33_01_Y004_X072.txt,Class B,0.91
Steno-CT-33_01_Y000_X285.txt,Class B,0.96
Steno-CT-33_01_Y012_X100.txt,Class B,0.76
Steno-CT-33_01_Y025_X179.txt,Class B,0.95
Steno-CT-33_01_Y041_X000.txt,Class B,0.86
Steno-CT-33_01_Y035_X250.txt,Class B,0.98
Steno-CT-33_01_Y002_X229.txt,Class B,0.94
Steno-CT-33_01_Y049_X118.txt,Class B,0.94
Steno-CT-33_01_Y012_X114.txt,Class B,0.88
Steno-CT-33_01_Y035_X244.txt,Class B,0.89
Steno-CT-33_01_Y041_X014.txt,Class B,0.96
Steno-CT-33_01_Y004_X066.txt,Class B,0.99
Steno-CT-33_01_Y001_X285.txt,Class B,0.98
Steno-CT-33_01_Y013_X100.txt,Class B,0.94
Steno-CT-33_01_Y024_X179.txt,Class B,1.0
Steno-CT-33_01_Y034_X250.txt,Class B,0.98
Steno-CT-33_01_Y040_X000.txt,Class B,0.93
Steno-CT-33_01_Y003_X229.txt,Class B,0.95
Steno-CT-33_01_Y028_X282.txt,Class B,0.99
Steno-CT-33_01_Y056_X172.txt,Class B,0.98
Steno-CT-33_01_Y005_X072.txt,Class B,0.91
Steno-CT-33_01_Y019_X088.txt,Class B,0.99
Steno-CT-33_01_Y011_X184.txt,Class B,0.91
Steno-CT-33_01_Y042_X084.txt,Class B,0.95
Steno-CT-33_01_Y003_X201.txt,Class B,0.92
Steno-CT-33_01_Y040_X028.txt,Class B,0.95
Steno-CT-33_01_Y034_X278.txt,Class B,0.8
Steno-CT-33_01_Y024_X151.txt,Class B,0.99
Steno-CT-33_01_Y013_X128.txt,Class B,0.96
Steno-CT-33_01_Y048_X124.txt,Class A,0.51
Steno-CT-33_01_Y038_X183.txt,Class B,0.93
Steno-CT-33_01_Y046_X273.txt,Class B,0.96
Steno-CT-33_01_Y032_X023.txt,Class B,0.98
Steno-CT-33_01_Y010_X190.txt,Class B,0.89
Steno-CT-33_01_Y043_X090.txt,Class B,0.86
Steno-CT-33_01_Y049_X130.txt,Class B,0.98
Steno-CT-33_01_Y002_X215.txt,Class B,0.94
Steno-CT-33_01_Y025_X145.txt,Class B,0.94
Steno-CT-33_01_Y039_X197.txt,Class B,0.97
Steno-CT-33_01_Y047_X267.txt,Class B,0.89
Steno-CT-33_01_Y033_X037.txt,Class B,0.96
Steno-CT-33_01_Y039_X183.txt,Class B,0.93
Steno-CT-33_01_Y033_X023.txt,Class B,0.9
Steno-CT-33_01_Y047_X273.txt,Class B,0.92
Steno-CT-33_01_Y010_X184.txt,Class B,0.97
Steno-CT-33_01_Y043_X084.txt,Class B,0.94
Steno-CT-33_01_Y018_X088.txt,Class B,0.93
Steno-CT-33_01_Y049_X124.txt,Class B,0.78
Steno-CT-33_01_Y002_X201.txt,Class B,0.96
Steno-CT-33_01_Y035_X278.txt,Class B,0.95
Steno-CT-33_01_Y041_X028.txt,Class B,0.98
Steno-CT-33_01_Y025_X151.txt,Class B,0.97
Steno-CT-33_01_Y012_X128.txt,Class B,0.99
Steno-CT-33_01_Y038_X197.txt,Class B,0.9
Steno-CT-33_01_Y032_X037.txt,Class B,0.96
Steno-CT-33_01_Y046_X267.txt,Class B,0.97
Steno-CT-33_01_Y011_X190.txt,Class B,0.93
Steno-CT-33_01_Y042_X090.txt,Class B,0.98
Steno-CT-33_01_Y003_X215.txt,Class B,0.95
Steno-CT-33_01_Y024_X145.txt,Class B,0.96
Steno-CT-33_01_Y048_X130.txt,Class B,1.0
Steno-CT-33_01_Y019_X077.txt,Class B,0.92
Steno-CT-33_01_Y001_X252.txt,Class B,0.97
Steno-CT-33_01_Y026_X102.txt,Class B,0.96
Steno-CT-33_01_Y007_X009.txt,Class B,0.95
Steno-CT-33_01_Y030_X070.txt,Class B,0.97
Steno-CT-33_01_Y044_X220.txt,Class B,0.94
Steno-CT-33_01_Y054_X109.txt,Class B,0.97
Steno-CT-33_01_Y028_X255.txt,Class B,1.0
Steno-CT-33_01_Y000_X246.txt,Class B,0.99
Steno-CT-33_01_Y027_X116.txt,Class B,0.77
Steno-CT-33_01_Y018_X063.txt,Class B,0.98
Steno-CT-33_01_Y029_X241.txt,Class B,0.94
Steno-CT-33_01_Y039_X168.txt,Class B,0.95
Steno-CT-33_01_Y031_X064.txt,Class B,0.92
Steno-CT-33_01_Y045_X234.txt,Class B,0.91
Steno-CT-33_01_Y029_X255.txt,Class B,0.98
Steno-CT-33_01_Y006_X009.txt,Class B,0.9
Steno-CT-33_01_Y045_X220.txt,Class B,0.9
Steno-CT-33_01_Y031_X070.txt,Class B,0.98
Steno-CT-33_01_Y055_X109.txt,Class B,1.0
Steno-CT-33_01_Y000_X252.txt,Class B,0.97
Steno-CT-33_01_Y027_X102.txt,Class B,0.94
Steno-CT-33_01_Y018_X077.txt,Class B,1.0
Steno-CT-33_01_Y044_X234.txt,Class B,0.98
Steno-CT-33_01_Y030_X064.txt,Class B,0.93
Steno-CT-33_01_Y028_X241.txt,Class B,0.95
Steno-CT-33_01_Y038_X168.txt,Class B,0.99
Steno-CT-33_01_Y019_X063.txt,Class B,0.88
Steno-CT-33_01_Y001_X246.txt,Class B,0.96
Steno-CT-33_01_Y026_X116.txt,Class B,0.95
Steno-CT-33_01_Y005_X099.txt,Class B,0.89
Steno-CT-33_01_Y056_X199.txt,Class B,0.99
Steno-CT-33_01_Y054_X135.txt,Class B,0.8
Steno-CT-33_01_Y007_X035.txt,Class B,0.96
Steno-CT-33_01_Y038_X140.txt,Class B,0.97
Steno-CT-33_01_Y028_X269.txt,Class B,0.82
Steno-CT-33_01_Y024_X192.txt,Class B,1.0
Steno-CT-33_01_Y011_X147.txt,Class B,0.96
Steno-CT-33_01_Y036_X217.txt,Class B,0.92
Steno-CT-33_01_Y042_X047.txt,Class B,0.94
Steno-CT-33_01_Y039_X154.txt,Class B,0.95
Steno-CT-33_01_Y055_X121.txt,Class B,0.9
Steno-CT-33_01_Y031_X058.txt,Class B,0.99
Steno-CT-33_01_Y045_X208.txt,Class B,0.98
Steno-CT-33_01_Y006_X021.txt,Class B,0.88
Steno-CT-33_01_Y025_X186.txt,Class B,0.98
Steno-CT-33_01_Y010_X153.txt,Class B,0.94
Steno-CT-33_01_Y037_X203.txt,Class B,0.94
Steno-CT-33_01_Y043_X053.txt,Class B,0.99
Steno-CT-33_01_Y025_X192.txt,Class B,1.0
Steno-CT-33_01_Y010_X147.txt,Class B,0.96
Steno-CT-33_01_Y043_X047.txt,Class B,0.93
Steno-CT-33_01_Y037_X217.txt,Class B,0.94
Steno-CT-33_01_Y004_X099.txt,Class B,0.94
Steno-CT-33_01_Y039_X140.txt,Class B,0.91
Steno-CT-33_01_Y029_X269.txt,Class B,0.91
Steno-CT-33_01_Y055_X135.txt,Class B,0.96
Steno-CT-33_01_Y006_X035.txt,Class B,0.94
Steno-CT-33_01_Y024_X186.txt,Class B,1.0
Steno-CT-33_01_Y011_X153.txt,Class B,0.99
Steno-CT-33_01_Y042_X053.txt,Class B,0.92
Steno-CT-33_01_Y036_X203.txt,Class B,0.96
Steno-CT-33_01_Y054_X121.txt,Class B,0.99
Steno-CT-33_01_Y044_X208.txt,Class B,0.9
Steno-CT-33_01_Y030_X058.txt,Class B,0.87
Steno-CT-33_01_Y007_X021.txt,Class B,0.9
Steno-CT-33_01_Y038_X154.txt,Class B,0.76
Steno-CT-33_01_Y022_X242.txt,Class B,0.99
Steno-CT-33_01_Y056_X012.txt,Class B,0.96
Steno-CT-33_01_Y005_X112.txt,Class B,0.97
Steno-CT-33_01_Y013_X060.txt,Class B,0.99
Steno-CT-33_01_Y024_X019.txt,Class B,0.97
Steno-CT-33_01_Y050_X249.txt,Class B,0.84
Steno-CT-33_01_Y040_X160.txt,Class B,0.97
Steno-CT-33_01_Y023_X256.txt,Class B,0.94
Steno-CT-33_01_Y057_X006.txt,Class B,0.96
Steno-CT-33_01_Y004_X106.txt,Class B,0.89
Steno-CT-33_01_Y016_X283.txt,Class B,0.97
Steno-CT-33_01_Y012_X074.txt,Class B,0.97
Steno-CT-33_01_Y041_X174.txt,Class B,0.7
Steno-CT-33_01_Y049_X078.txt,Class B,0.98
Steno-CT-33_01_Y012_X060.txt,Class B,0.98
Steno-CT-33_01_Y051_X249.txt,Class B,0.69
Steno-CT-33_01_Y025_X019.txt,Class B,0.98
Steno-CT-33_01_Y041_X160.txt,Class B,0.86
Steno-CT-33_01_Y057_X012.txt,Class B,0.92
Steno-CT-33_01_Y023_X242.txt,Class B,0.95
Steno-CT-33_01_Y004_X112.txt,Class B,0.98
Steno-CT-33_01_Y048_X078.txt,Class B,0.94
Steno-CT-33_01_Y013_X074.txt,Class B,0.91
Steno-CT-33_01_Y040_X174.txt,Class B,0.98
Steno-CT-33_01_Y056_X006.txt,Class B,0.88
Steno-CT-33_01_Y022_X256.txt,Class B,0.96
Steno-CT-33_01_Y005_X106.txt,Class B,0.99
Steno-CT-33_01_Y017_X283.txt,Class B,0.96
Steno-CT-33_01_Y048_X050.txt,Class B,0.9
Steno-CT-33_01_Y024_X025.txt,Class B,0.86
Steno-CT-33_01_Y050_X275.txt,Class B,0.92
Steno-CT-33_01_Y026_X089.txt,Class B,0.92
Steno-CT-33_01_Y032_X157.txt,Class B,0.99
Steno-CT-33_01_Y015_X207.txt,Class B,0.98
Steno-CT-33_01_Y054_X082.txt,Class B,0.97
Steno-CT-33_01_Y007_X182.txt,Class B,0.92
Steno-CT-33_01_Y041_X148.txt,Class B,0.92
Steno-CT-33_01_Y025_X031.txt,Class B,0.93
Steno-CT-33_01_Y051_X261.txt,Class B,0.8
Steno-CT-33_01_Y012_X048.txt,Class B,0.99
Steno-CT-33_01_Y049_X044.txt,Class B,0.96
Steno-CT-33_01_Y033_X143.txt,Class B,1.0
Steno-CT-33_01_Y014_X213.txt,Class B,0.97
Steno-CT-33_01_Y055_X096.txt,Class B,0.91
Steno-CT-33_01_Y006_X196.txt,Class B,0.97
Steno-CT-33_01_Y033_X157.txt,Class B,0.96
Steno-CT-33_01_Y014_X207.txt,Class B,0.97
Steno-CT-33_01_Y055_X082.txt,Class B,0.87
Steno-CT-33_01_Y006_X182.txt,Class B,0.99
Steno-CT-33_01_Y051_X275.txt,Class B,0.9
Steno-CT-33_01_Y025_X025.txt,Class B,0.92
Steno-CT-33_01_Y049_X050.txt,Class B,0.98
Steno-CT-33_01_Y027_X089.txt,Class B,0.97
Steno-CT-33_01_Y032_X143.txt,Class B,0.83
Steno-CT-33_01_Y015_X213.txt,Class B,0.97
Steno-CT-33_01_Y054_X096.txt,Class B,0.92
Steno-CT-33_01_Y007_X196.txt,Class B,0.93
Steno-CT-33_01_Y048_X044.txt,Class B,0.95
Steno-CT-33_01_Y040_X148.txt,Class B,0.99
Steno-CT-33_01_Y050_X261.txt,Class B,0.94
Steno-CT-33_01_Y024_X031.txt,Class B,0.78
Steno-CT-33_01_Y013_X048.txt,Class B,0.96
Steno-CT-33_01_Y052_X226.txt,Class B,0.96
Steno-CT-33_01_Y026_X076.txt,Class B,0.95
Steno-CT-33_01_Y019_X103.txt,Class B,0.96
Steno-CT-33_01_Y038_X008.txt,Class B,0.9
Steno-CT-33_01_Y030_X104.txt,Class B,0.97
Steno-CT-33_01_Y017_X254.txt,Class B,0.82
Steno-CT-33_01_Y022_X281.txt,Class B,0.98
Steno-CT-33_01_Y018_X117.txt,Class B,0.95
Steno-CT-33_01_Y053_X232.txt,Class B,0.98
Steno-CT-33_01_Y027_X062.txt,Class B,0.95
Steno-CT-33_01_Y006_X169.txt,Class B,0.97
Steno-CT-33_01_Y031_X110.txt,Class B,0.95
Steno-CT-33_01_Y055_X069.txt,Class B,0.94
Steno-CT-33_01_Y021_X239.txt,Class B,0.98
Steno-CT-33_01_Y016_X240.txt,Class B,0.87
Steno-CT-33_01_Y031_X104.txt,Class B,0.96
Steno-CT-33_01_Y016_X254.txt,Class B,0.93
Steno-CT-33_01_Y039_X008.txt,Class B,0.95
Steno-CT-33_01_Y023_X281.txt,Class B,0.94
Steno-CT-33_01_Y018_X103.txt,Class B,0.97
Steno-CT-33_01_Y027_X076.txt,Class B,0.98
Steno-CT-33_01_Y053_X226.txt,Class B,0.78
Steno-CT-33_01_Y007_X169.txt,Class B,0.91
Steno-CT-33_01_Y030_X110.txt,Class B,0.75
Steno-CT-33_01_Y020_X239.txt,Class B,0.97
Steno-CT-33_01_Y054_X069.txt,Class B,0.93
Steno-CT-33_01_Y017_X240.txt,Class B,0.92
Steno-CT-33_01_Y026_X062.txt,Class B,0.9
Steno-CT-33_01_Y052_X232.txt,Class B,0.99
Steno-CT-33_01_Y019_X117.txt,Class B,0.88
Steno-CT-33_01_Y038_X034.txt,Class B,0.88
Steno-CT-33_01_Y017_X268.txt,Class B,0.97
Steno-CT-33_01_Y054_X041.txt,Class B,0.9
Steno-CT-33_01_Y020_X211.txt,Class B,0.96
Steno-CT-33_01_Y030_X138.txt,Class B,0.92
Steno-CT-33_01_Y007_X141.txt,Class B,0.96
Steno-CT-33_01_Y032_X194.txt,Class B,0.95
Steno-CT-33_01_Y011_X033.txt,Class B,0.94
Steno-CT-33_01_Y042_X133.txt,Class B,0.95
Steno-CT-33_01_Y009_X216.txt,Class B,0.98
Steno-CT-33_01_Y048_X093.txt,Class B,0.95
Steno-CT-33_01_Y055_X055.txt,Class B,0.81
Steno-CT-33_01_Y021_X205.txt,Class B,0.97
Steno-CT-33_01_Y006_X155.txt,Class B,0.96
Steno-CT-33_01_Y039_X020.txt,Class B,0.89
Steno-CT-33_01_Y033_X180.txt,Class B,0.97
Steno-CT-33_01_Y008_X202.txt,Class B,0.95
Steno-CT-33_01_Y010_X027.txt,Class B,0.86
Steno-CT-33_01_Y043_X127.txt,Class B,0.73
Steno-CT-33_01_Y049_X087.txt,Class B,0.98
Steno-CT-33_01_Y008_X216.txt,Class B,0.96
Steno-CT-33_01_Y010_X033.txt,Class B,0.88
Steno-CT-33_01_Y043_X133.txt,Class B,0.98
Steno-CT-33_01_Y049_X093.txt,Class B,0.95
Steno-CT-33_01_Y016_X268.txt,Class B,0.94
Steno-CT-33_01_Y021_X211.txt,Class B,0.98
Steno-CT-33_01_Y055_X041.txt,Class B,0.94
Steno-CT-33_01_Y031_X138.txt,Class B,0.95
Steno-CT-33_01_Y006_X141.txt,Class B,0.99
Steno-CT-33_01_Y039_X034.txt,Class B,0.93
Steno-CT-33_01_Y033_X194.txt,Class B,0.99
Steno-CT-33_01_Y011_X027.txt,Class B,0.94
Steno-CT-33_01_Y042_X127.txt,Class B,0.87
Steno-CT-33_01_Y009_X202.txt,Class B,0.92
Steno-CT-33_01_Y048_X087.txt,Class B,0.98
Steno-CT-33_01_Y038_X020.txt,Class B,0.87
Steno-CT-33_01_Y020_X205.txt,Class B,0.99
Steno-CT-33_01_Y054_X055.txt,Class B,0.99
Steno-CT-33_01_Y007_X155.txt,Class B,0.98
